Gene name	Ensembl gene ID	Location	Gene type	Description	Source for gene being significantly up-regulated in aging MII oocytes	No. of sources	Source for gene being significantly down-regulated in aging MII oocytes	No. of sources	Is this gene consistently up- or down-regulated? (i.e. no study draws an opposing conclusion)
CLASP1	ENSG00000074054	2:121337776-121649476:-1	protein_coding	cytoplasmic linker associated protein 1 [Source:HGNC Symbol;Acc:HGNC:17088]	.	0	Yuan 2021	1	yes
CLNS1A	ENSG00000074201	11:77514936-77637794:-1	protein_coding	chloride nucleotide-sensitive channel 1A [Source:HGNC Symbol;Acc:HGNC:2080]	.	0	Pan 2008	1	yes
CA12	ENSG00000074410	15:63321378-63381846:-1	protein_coding	carbonic anhydrase 12 [Source:HGNC Symbol;Acc:HGNC:1371]	Steuerwald 2007	1	.	0	yes
NTN4	ENSG00000074527	12:95657807-95791189:-1	protein_coding	netrin 4 [Source:HGNC Symbol;Acc:HGNC:13658]	Llonch 2021	1	.	0	yes
NUAK1	ENSG00000074590	12:106063345-106138954:-1	protein_coding	NUAK family kinase 1 [Source:HGNC Symbol;Acc:HGNC:14311]	Zhang 2020	1	.	0	yes
TUBE1	ENSG00000074935	6:112070663-112087529:-1	protein_coding	tubulin epsilon 1 [Source:HGNC Symbol;Acc:HGNC:20775]	.	0	Pan 2008	1	yes
KCNQ2	ENSG00000075043	20:63400208-63472677:-1	protein_coding	potassium voltage-gated channel subfamily Q member 2 [Source:HGNC Symbol;Acc:HGNC:6296]	.	0	Ntostis 2021	1	yes
TIPIN	ENSG00000075131	15:66336191-66386746:-1	protein_coding	TIMELESS interacting protein [Source:HGNC Symbol;Acc:HGNC:30750]	.	0	Reyes 2017	1	yes
SRI	ENSG00000075142	7:88205115-88226993:-1	protein_coding	sorcin [Source:HGNC Symbol;Acc:HGNC:11292]	Llonch 2021	1	Yuan 2021	1	no
EIF4G3	ENSG00000075151	1:20806292-21177285:-1	protein_coding	eukaryotic translation initiation factor 4 gamma 3 [Source:HGNC Symbol;Acc:HGNC:3298]	Llonch 2021	1	Barone 2020	1	no
SEMA3A	ENSG00000075213	7:83955777-84492724:-1	protein_coding	semaphorin 3A [Source:HGNC Symbol;Acc:HGNC:10723]	Barone 2020	1	.	0	yes
GTSE1	ENSG00000075218	22:46296870-46330810:1	protein_coding	G2 and S-phase expressed 1 [Source:HGNC Symbol;Acc:HGNC:13698]	Grondahl 2010, Yuan 2021	2	.	0	yes
GRAMD4	ENSG00000075240	22:46576012-46679790:1	protein_coding	GRAM domain containing 4 [Source:HGNC Symbol;Acc:HGNC:29113]	.	0	Ntostis 2021	1	yes
WNT8B	ENSG00000075290	10:100463009-100483744:1	protein_coding	Wnt family member 8B [Source:HGNC Symbol;Acc:HGNC:12789]	Barone 2020	1	.	0	yes
ZNF37A	ENSG00000075407	10:38094334-38150293:1	protein_coding	zinc finger protein 37A [Source:HGNC Symbol;Acc:HGNC:13102]	Barone 2020	1	.	0	yes
MARK3	ENSG00000075413	14:103385377-103503831:1	protein_coding	microtubule affinity regulating kinase 3 [Source:HGNC Symbol;Acc:HGNC:6897]	Llonch 2021	1	.	0	yes
SLC25A3	ENSG00000075415	12:98593591-98606379:1	protein_coding	solute carrier family 25 member 3 [Source:HGNC Symbol;Acc:HGNC:10989]	Zhang 2020	1	.	0	yes
FOSL2	ENSG00000075426	2:28392448-28417317:1	protein_coding	FOS like 2, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:3798]	Yuan 2021	1	.	0	yes
FRYL	ENSG00000075539	4:48497357-48780322:-1	protein_coding	FRY like transcription coactivator [Source:HGNC Symbol;Acc:HGNC:29127]	.	0	Barone 2020	1	yes
ACTB	ENSG00000075624	7:5526409-5563902:-1	protein_coding	actin beta [Source:HGNC Symbol;Acc:HGNC:132]	Barone 2020	1	.	0	yes
WDR62	ENSG00000075702	19:36054649-36105108:1	protein_coding	WD repeat domain 62 [Source:HGNC Symbol;Acc:HGNC:24502]	This study	1	.	0	yes
DLG1	ENSG00000075711	3:197042560-197299330:-1	protein_coding	discs large MAGUK scaffold protein 1 [Source:HGNC Symbol;Acc:HGNC:2900]	.	0	Grondahl 2010, Steuerwald 2007	2	yes
SART3	ENSG00000075856	12:108522214-108561400:-1	protein_coding	spliceosome associated factor 3, U4/U6 recycling protein [Source:HGNC Symbol;Acc:HGNC:16860]	.	0	Barone 2020	1	yes
KIFAP3	ENSG00000075945	1:169921326-170085208:-1	protein_coding	kinesin associated protein 3 [Source:HGNC Symbol;Acc:HGNC:17060]	This study	1	.	0	yes
MCM6	ENSG00000076003	2:135839626-135876443:-1	protein_coding	minichromosome maintenance complex component 6 [Source:HGNC Symbol;Acc:HGNC:6949]	.	0	Steuerwald 2007	1	yes
RBM7	ENSG00000076053	11:114400030-114414203:1	protein_coding	RNA binding motif protein 7 [Source:HGNC Symbol;Acc:HGNC:9904]	.	0	Hamatini 2004	1	yes
BAZ2A	ENSG00000076108	12:56595596-56636816:-1	protein_coding	bromodomain adjacent to zinc finger domain 2A [Source:HGNC Symbol;Acc:HGNC:962]	Yuan 2021	1	.	0	yes
PTPN23	ENSG00000076201	3:47381011-47413435:1	protein_coding	protein tyrosine phosphatase non-receptor type 23 [Source:HGNC Symbol;Acc:HGNC:14406]	.	0	Barone 2020	1	yes
MLH1	ENSG00000076242	3:36993226-37050896:1	protein_coding	mutL homolog 1 [Source:HGNC Symbol;Acc:HGNC:7127]	.	0	Ntostis 2021	1	yes
KLHL20	ENSG00000076321	1:173714941-173786692:1	protein_coding	kelch like family member 20 [Source:HGNC Symbol;Acc:HGNC:25056]	Barone 2020	1	.	0	yes
PLXNA2	ENSG00000076356	1:208022242-208244384:-1	protein_coding	plexin A2 [Source:HGNC Symbol;Acc:HGNC:9100]	Pan 2008	1	Hamatini 2004	1	no
SPAG5	ENSG00000076382	17:28577565-28599025:-1	protein_coding	sperm associated antigen 5 [Source:HGNC Symbol;Acc:HGNC:13452]	Barone 2020	1	.	0	yes
ANKRD13A	ENSG00000076513	12:109999186-110039763:1	protein_coding	ankyrin repeat domain 13A [Source:HGNC Symbol;Acc:HGNC:21268]	.	0	Grondahl 2010	1	yes
PAG1	ENSG00000076641	8:80967810-81112068:-1	protein_coding	phosphoprotein membrane anchor with glycosphingolipid microdomains 1 [Source:HGNC Symbol;Acc:HGNC:30043]	.	0	Barone 2020	1	yes
GPATCH1	ENSG00000076650	19:33080899-33130542:1	protein_coding	G-patch domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24658]	Ntostis 2021	1	Barone 2020	1	no
NT5C2	ENSG00000076685	10:103087185-103277605:-1	protein_coding	5'-nucleotidase, cytosolic II [Source:HGNC Symbol;Acc:HGNC:8022]	Steuerwald 2007	1	.	0	yes
MCAM	ENSG00000076706	11:119308529-119321521:-1	protein_coding	melanoma cell adhesion molecule [Source:HGNC Symbol;Acc:HGNC:6934]	This study	1	Barone 2020	1	no
XAB2	ENSG00000076924	19:7619525-7629545:-1	protein_coding	XPA binding protein 2 [Source:HGNC Symbol;Acc:HGNC:14089]	This study	1	.	0	yes
STXBP2	ENSG00000076944	19:7636772-7647873:1	protein_coding	syntaxin binding protein 2 [Source:HGNC Symbol;Acc:HGNC:11445]	Zhang 2020	1	.	0	yes
MAP2K7	ENSG00000076984	19:7903843-7914478:1	protein_coding	mitogen-activated protein kinase kinase 7 [Source:HGNC Symbol;Acc:HGNC:6847]	.	0	Barone 2020	1	yes
DGKD	ENSG00000077044	2:233354494-233472104:1	protein_coding	diacylglycerol kinase delta [Source:HGNC Symbol;Acc:HGNC:2851]	.	0	Pan 2008	1	yes
CTTNBP2	ENSG00000077063	7:117710651-117874139:-1	protein_coding	cortactin binding protein 2 [Source:HGNC Symbol;Acc:HGNC:15679]	.	0	Barone 2020, Pan 2008	2	yes
RARB	ENSG00000077092	3:24687887-25597932:1	protein_coding	retinoic acid receptor beta [Source:HGNC Symbol;Acc:HGNC:9865]	.	0	Ntostis 2021	1	yes
TOP2B	ENSG00000077097	3:25597978-25664909:-1	protein_coding	DNA topoisomerase II beta [Source:HGNC Symbol;Acc:HGNC:11990]	Llonch 2021	1	Yuan 2021	1	no
UBE2T	ENSG00000077152	1:202331544-202341984:-1	protein_coding	ubiquitin conjugating enzyme E2 T [Source:HGNC Symbol;Acc:HGNC:25009]	.	0	Barone 2020	1	yes
PPP1R12B	ENSG00000077157	1:202348699-202592706:1	protein_coding	protein phosphatase 1 regulatory subunit 12B [Source:HGNC Symbol;Acc:HGNC:7619]	Llonch 2021, This study	2	.	0	yes
DNAJC10	ENSG00000077232	2:182716255-182794464:1	protein_coding	DnaJ heat shock protein family (Hsp40) member C10 [Source:HGNC Symbol;Acc:HGNC:24637]	.	0	This study	1	yes
SNRPA	ENSG00000077312	19:40750637-40765389:1	protein_coding	small nuclear ribonucleoprotein polypeptide A [Source:HGNC Symbol;Acc:HGNC:11151]	.	0	Reyes 2017	1	yes
SPAG6	ENSG00000077327	10:22345445-22454224:1	protein_coding	sperm associated antigen 6 [Source:HGNC Symbol;Acc:HGNC:11215]	This study	1	.	0	yes
EXOSC5	ENSG00000077348	19:41386371-41397362:-1	protein_coding	exosome component 5 [Source:HGNC Symbol;Acc:HGNC:24662]	.	0	Ntostis 2021	1	yes
DYNC1I2	ENSG00000077380	2:171687409-171750158:1	protein_coding	dynein cytoplasmic 1 intermediate chain 2 [Source:HGNC Symbol;Acc:HGNC:2964]	Llonch 2021	1	.	0	yes
FAM76B	ENSG00000077458	11:95768953-95790409:-1	protein_coding	family with sequence similarity 76 member B [Source:HGNC Symbol;Acc:HGNC:28492]	Barone 2020	1	.	0	yes
POLD3	ENSG00000077514	11:74493851-74669117:1	protein_coding	DNA polymerase delta 3, accessory subunit [Source:HGNC Symbol;Acc:HGNC:20932]	Llonch 2021	1	.	0	yes
CAPZB	ENSG00000077549	1:19338775-19485539:-1	protein_coding	capping actin protein of muscle Z-line subunit beta [Source:HGNC Symbol;Acc:HGNC:1491]	Pan 2008	1	.	0	yes
NAALAD2	ENSG00000077616	11:90131515-90192894:1	protein_coding	N-acetylated alpha-linked acidic dipeptidase 2 [Source:HGNC Symbol;Acc:HGNC:14526]	.	0	Ntostis 2021	1	yes
JADE1	ENSG00000077684	4:128809700-128875224:1	protein_coding	jade family PHD finger 1 [Source:HGNC Symbol;Acc:HGNC:30027]	Yuan 2021	1	.	0	yes
UBE2A	ENSG00000077721	X:119474802-119591083:1	protein_coding	ubiquitin conjugating enzyme E2 A [Source:HGNC Symbol;Acc:HGNC:12472]	Pan 2008	1	Hamatini 2004	1	no
FGFR1	ENSG00000077782	8:38400215-38468834:-1	protein_coding	fibroblast growth factor receptor 1 [Source:HGNC Symbol;Acc:HGNC:3688]	Steuerwald 2007	1	Pan 2008	1	no
PIAS2	ENSG00000078043	18:46803218-46920160:-1	protein_coding	protein inhibitor of activated STAT 2 [Source:HGNC Symbol;Acc:HGNC:17311]	.	0	Grondahl 2010, Llonch 2021	2	yes
MCCC1	ENSG00000078070	3:183015218-183116075:-1	protein_coding	methylcrotonyl-CoA carboxylase subunit 1 [Source:HGNC Symbol;Acc:HGNC:6936]	This study	1	.	0	yes
LAMP3	ENSG00000078081	3:183122215-183163839:-1	protein_coding	lysosomal associated membrane protein 3 [Source:HGNC Symbol;Acc:HGNC:14582]	Llonch 2021	1	.	0	yes
NEBL	ENSG00000078114	10:20779973-21293011:-1	protein_coding	nebulette [Source:HGNC Symbol;Acc:HGNC:16932]	.	0	Steuerwald 2007	1	yes
PPP2R5C	ENSG00000078304	14:101761709-101927989:1	protein_coding	protein phosphatase 2 regulatory subunit B'gamma [Source:HGNC Symbol;Acc:HGNC:9311]	.	0	Pan 2008	1	yes
GNB1	ENSG00000078369	1:1785285-1892292:-1	protein_coding	G protein subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:4396]	.	0	Barone 2020	1	yes
MLLT10	ENSG00000078403	10:21524646-21743630:1	protein_coding	MLLT10 histone lysine methyltransferase DOT1L cofactor [Source:HGNC Symbol;Acc:HGNC:16063]	Grondahl 2010	1	.	0	yes
ZCWPW1	ENSG00000078487	7:100400826-100428992:-1	protein_coding	zinc finger CW-type and PWWP domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23486]	Llonch 2021	1	.	0	yes
VDAC3	ENSG00000078668	8:42391624-42405937:1	protein_coding	voltage dependent anion channel 3 [Source:HGNC Symbol;Acc:HGNC:12674]	Llonch 2021	1	Hamatini 2004	1	no
PCM1	ENSG00000078674	8:17922842-18029948:1	protein_coding	pericentriolar material 1 [Source:HGNC Symbol;Acc:HGNC:8727]	Hamatini 2004, Llonch 2021	2	.	0	yes
ITCH	ENSG00000078747	20:34363235-34511773:1	protein_coding	itchy E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:13890]	.	0	Barone 2020	1	yes
TP53INP2	ENSG00000078804	20:34704339-34713439:1	protein_coding	tumor protein p53 inducible nuclear protein 2 [Source:HGNC Symbol;Acc:HGNC:16104]	Barone 2020	1	Pan 2008	1	no
SDF4	ENSG00000078808	1:1216931-1232031:-1	protein_coding	stromal cell derived factor 4 [Source:HGNC Symbol;Acc:HGNC:24188]	.	0	Ntostis 2021	1	yes
TOLLIP	ENSG00000078902	11:1274371-1309654:-1	protein_coding	toll interacting protein [Source:HGNC Symbol;Acc:HGNC:16476]	.	0	Barone 2020	1	yes
CDH17	ENSG00000079112	8:94127162-94217303:-1	protein_coding	cadherin 17 [Source:HGNC Symbol;Acc:HGNC:1756]	.	0	Grondahl 2010	1	yes
THOC1	ENSG00000079134	18:214520-268050:-1	protein_coding	THO complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:19070]	This study	1	.	0	yes
SP140	ENSG00000079263	2:230203110-230313215:1	protein_coding	SP140 nuclear body protein [Source:HGNC Symbol;Acc:HGNC:17133]	Llonch 2021	1	.	0	yes
REXO1	ENSG00000079313	19:1815248-1848483:-1	protein_coding	RNA exonuclease 1 homolog [Source:HGNC Symbol;Acc:HGNC:24616]	This study, Yuan 2021	2	.	0	yes
SENP1	ENSG00000079387	12:48039784-48106079:-1	protein_coding	SUMO specific peptidase 1 [Source:HGNC Symbol;Acc:HGNC:17927]	Hamatini 2004, This study	2	.	0	yes
FDFT1	ENSG00000079459	8:11795573-11839395:1	protein_coding	farnesyl-diphosphate farnesyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:3629]	Grondahl 2010, Llonch 2021, Pan 2008	3	Hamatini 2004	1	no
PAFAH1B3	ENSG00000079462	19:42297033-42303546:-1	protein_coding	platelet activating factor acetylhydrolase 1b catalytic subunit 3 [Source:HGNC Symbol;Acc:HGNC:8576]	This study	1	Ntostis 2021	1	no
OPHN1	ENSG00000079482	X:67949349-68433913:-1	protein_coding	oligophrenin 1 [Source:HGNC Symbol;Acc:HGNC:8148]	Llonch 2021, Yuan 2021	2	.	0	yes
KIF22	ENSG00000079616	16:29790727-29805385:1	protein_coding	kinesin family member 22 [Source:HGNC Symbol;Acc:HGNC:6391]	This study	1	Reyes 2017	1	no
CARMIL1	ENSG00000079691	6:25279078-25620530:1	protein_coding	capping protein regulator and myosin 1 linker 1 [Source:HGNC Symbol;Acc:HGNC:21581]	.	0	Zhang 2020	1	yes
DNM2	ENSG00000079805	19:10718055-10833488:1	protein_coding	dynamin 2 [Source:HGNC Symbol;Acc:HGNC:2974]	Pan 2008	1	Barone 2020	1	no
EPB41L2	ENSG00000079819	6:130839347-131063322:-1	protein_coding	erythrocyte membrane protein band 4.1 like 2 [Source:HGNC Symbol;Acc:HGNC:3379]	Llonch 2021	1	.	0	yes
RIMS1	ENSG00000079841	6:71886550-72403150:1	protein_coding	regulating synaptic membrane exocytosis 1 [Source:HGNC Symbol;Acc:HGNC:17282]	.	0	Zhang 2020	1	yes
STX7	ENSG00000079950	6:132445867-132513198:-1	protein_coding	syntaxin 7 [Source:HGNC Symbol;Acc:HGNC:11442]	.	0	Hamatini 2004, Yuan 2021	2	yes
RABL2B	ENSG00000079974	22:50767501-50783667:-1	protein_coding	RAB, member of RAS oncogene family like 2B [Source:HGNC Symbol;Acc:HGNC:9800]	This study	1	.	0	yes
PTPRH	ENSG00000080031	19:55181247-55209506:-1	protein_coding	protein tyrosine phosphatase receptor type H [Source:HGNC Symbol;Acc:HGNC:9672]	This study	1	.	0	yes
SLC35C2	ENSG00000080189	20:46345980-46364458:-1	protein_coding	solute carrier family 35 member C2 [Source:HGNC Symbol;Acc:HGNC:17117]	This study	1	.	0	yes
RAB21	ENSG00000080371	12:71754863-71800286:1	protein_coding	RAB21, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:18263]	.	0	Llonch 2021	1	yes
SESN1	ENSG00000080546	6:108984309-109094846:-1	protein_coding	sestrin 1 [Source:HGNC Symbol;Acc:HGNC:21595]	.	0	Steuerwald 2007	1	yes
SRCAP	ENSG00000080603	16:30698209-30741409:1	protein_coding	Snf2 related CREBBP activator protein [Source:HGNC Symbol;Acc:HGNC:16974]	This study	1	.	0	yes
PUM3	ENSG00000080608	9:2720469-2844095:-1	protein_coding	pumilio RNA binding family member 3 [Source:HGNC Symbol;Acc:HGNC:29676]	Llonch 2021	1	.	0	yes
CPB2	ENSG00000080618	13:46053186-46105033:-1	protein_coding	carboxypeptidase B2 [Source:HGNC Symbol;Acc:HGNC:2300]	Pan 2008	1	.	0	yes
CHRNA3	ENSG00000080644	15:78593052-78621295:-1	protein_coding	cholinergic receptor nicotinic alpha 3 subunit [Source:HGNC Symbol;Acc:HGNC:1957]	Steuerwald 2007	1	.	0	yes
CPOX	ENSG00000080819	3:98579446-98593648:-1	protein_coding	coproporphyrinogen oxidase [Source:HGNC Symbol;Acc:HGNC:2321]	.	0	Pan 2008	1	yes
CLDND1	ENSG00000080822	3:98497912-98523066:-1	protein_coding	claudin domain containing 1 [Source:HGNC Symbol;Acc:HGNC:1322]	Barone 2020	1	Ntostis 2021	1	no
DLGAP4	ENSG00000080845	20:36306336-36528637:1	protein_coding	DLG associated protein 4 [Source:HGNC Symbol;Acc:HGNC:24476]	.	0	Barone 2020	1	yes
MAGI3	ENSG00000081026	1:113390515-113685923:1	protein_coding	membrane associated guanylate kinase, WW and PDZ domain containing 3 [Source:HGNC Symbol;Acc:HGNC:29647]	Yuan 2021	1	.	0	yes
TCF7	ENSG00000081059	5:134114681-134151865:1	protein_coding	transcription factor 7 [Source:HGNC Symbol;Acc:HGNC:11639]	.	0	Barone 2020, Llonch 2021	2	yes
PCNP	ENSG00000081154	3:101574180-101594465:1	protein_coding	PEST proteolytic signal containing nuclear protein [Source:HGNC Symbol;Acc:HGNC:30023]	.	0	Yuan 2021	1	yes
ARG2	ENSG00000081181	14:67619920-67651708:1	protein_coding	arginase 2 [Source:HGNC Symbol;Acc:HGNC:664]	.	0	Barone 2020, Ntostis 2021	2	yes
ZNF510	ENSG00000081386	9:96754553-96778129:-1	protein_coding	zinc finger protein 510 [Source:HGNC Symbol;Acc:HGNC:29161]	This study	1	.	0	yes
ZNF506	ENSG00000081665	19:19785839-19821751:-1	protein_coding	zinc finger protein 506 [Source:HGNC Symbol;Acc:HGNC:23780]	.	0	Llonch 2021	1	yes
DELE1	ENSG00000081791	5:141923855-141942047:1	protein_coding	DAP3 binding cell death enhancer 1 [Source:HGNC Symbol;Acc:HGNC:28969]	This study	1	.	0	yes
PHLPP1	ENSG00000081913	18:62715541-62980433:1	protein_coding	PH domain and leucine rich repeat protein phosphatase 1 [Source:HGNC Symbol;Acc:HGNC:20610]	.	0	Llonch 2021	1	yes
SMARCD3	ENSG00000082014	7:151238764-151277896:-1	protein_coding	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 3 [Source:HGNC Symbol;Acc:HGNC:11108]	.	0	Ntostis 2021	1	yes
WDR70	ENSG00000082068	5:37379285-37753435:1	protein_coding	WD repeat domain 70 [Source:HGNC Symbol;Acc:HGNC:25495]	Llonch 2021	1	.	0	yes
ME2	ENSG00000082212	18:50879080-50954257:1	protein_coding	malic enzyme 2 [Source:HGNC Symbol;Acc:HGNC:6984]	Barone 2020	1	.	0	yes
CCNT2	ENSG00000082258	2:134918235-134959342:1	protein_coding	cyclin T2 [Source:HGNC Symbol;Acc:HGNC:1600]	.	0	Barone 2020	1	yes
COBLL1	ENSG00000082438	2:164653624-164843679:-1	protein_coding	cordon-bleu WH2 repeat protein like 1 [Source:HGNC Symbol;Acc:HGNC:23571]	Yuan 2021	1	.	0	yes
DLG3	ENSG00000082458	X:70444835-70505490:1	protein_coding	discs large MAGUK scaffold protein 3 [Source:HGNC Symbol;Acc:HGNC:2902]	Yuan 2021	1	.	0	yes
TRAF5	ENSG00000082512	1:211326615-211374946:1	protein_coding	TNF receptor associated factor 5 [Source:HGNC Symbol;Acc:HGNC:12035]	Llonch 2021	1	.	0	yes
MRPL22	ENSG00000082515	5:154941073-154969411:1	protein_coding	mitochondrial ribosomal protein L22 [Source:HGNC Symbol;Acc:HGNC:14480]	.	0	Llonch 2021, Ntostis 2021	2	yes
GEMIN5	ENSG00000082516	5:154887411-154938211:-1	protein_coding	gem nuclear organelle associated protein 5 [Source:HGNC Symbol;Acc:HGNC:20043]	Yuan 2021	1	.	0	yes
NFE2L1	ENSG00000082641	17:48048329-48061545:1	protein_coding	NFE2 like bZIP transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:7781]	.	0	Pan 2008	1	yes
GSK3B	ENSG00000082701	3:119821321-120094994:-1	protein_coding	glycogen synthase kinase 3 beta [Source:HGNC Symbol;Acc:HGNC:4617]	This study	1	.	0	yes
ITGB5	ENSG00000082781	3:124761948-124901418:-1	protein_coding	integrin subunit beta 5 [Source:HGNC Symbol;Acc:HGNC:6160]	.	0	Barone 2020	1	yes
ERC1	ENSG00000082805	12:990509-1495933:1	protein_coding	ELKS/RAB6-interacting/CAST family member 1 [Source:HGNC Symbol;Acc:HGNC:17072]	Llonch 2021	1	.	0	yes
XPO1	ENSG00000082898	2:61476032-61538741:-1	protein_coding	exportin 1 [Source:HGNC Symbol;Acc:HGNC:12825]	Llonch 2021	1	.	0	yes
PALB2	ENSG00000083093	16:23603160-23641321:-1	protein_coding	partner and localizer of BRCA2 [Source:HGNC Symbol;Acc:HGNC:26144]	.	0	Barone 2020	1	yes
BCKDHB	ENSG00000083123	6:80106647-80346270:1	protein_coding	branched chain keto acid dehydrogenase E1 subunit beta [Source:HGNC Symbol;Acc:HGNC:987]	.	0	This study	1	yes
ULK2	ENSG00000083290	17:19770829-19867936:-1	protein_coding	unc-51 like autophagy activating kinase 2 [Source:HGNC Symbol;Acc:HGNC:13480]	.	0	Barone 2020, Pan 2008	2	yes
ITGAE	ENSG00000083457	17:3714628-3801188:-1	protein_coding	integrin subunit alpha E [Source:HGNC Symbol;Acc:HGNC:6147]	.	0	Llonch 2021	1	yes
PIBF1	ENSG00000083535	13:72782133-73016461:1	protein_coding	progesterone immunomodulatory binding factor 1 [Source:HGNC Symbol;Acc:HGNC:23352]	.	0	Barone 2020	1	yes
NUFIP1	ENSG00000083635	13:44939249-44989471:-1	protein_coding	nuclear FMR1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:8057]	Barone 2020	1	.	0	yes
CYLD	ENSG00000083799	16:50742050-50801935:1	protein_coding	CYLD lysine 63 deubiquitinase [Source:HGNC Symbol;Acc:HGNC:2584]	.	0	Barone 2020	1	yes
ZNF671	ENSG00000083814	19:57719751-57727624:-1	protein_coding	zinc finger protein 671 [Source:HGNC Symbol;Acc:HGNC:26279]	Ntostis 2021	1	.	0	yes
ZNF416	ENSG00000083817	19:57571566-57578911:-1	protein_coding	zinc finger protein 416 [Source:HGNC Symbol;Acc:HGNC:20645]	Barone 2020	1	.	0	yes
ZNF586	ENSG00000083828	19:57769655-57819939:1	protein_coding	zinc finger protein 586 [Source:HGNC Symbol;Acc:HGNC:25949]	.	0	Reyes 2017	1	yes
ZNF264	ENSG00000083844	19:57191500-57222846:1	protein_coding	zinc finger protein 264 [Source:HGNC Symbol;Acc:HGNC:13057]	.	0	Ntostis 2021	1	yes
RPS5	ENSG00000083845	19:58386400-58394806:1	protein_coding	ribosomal protein S5 [Source:HGNC Symbol;Acc:HGNC:10426]	Pan 2008	1	.	0	yes
CHMP2B	ENSG00000083937	3:87227271-87255556:1	protein_coding	charged multivesicular body protein 2B [Source:HGNC Symbol;Acc:HGNC:24537]	Barone 2020	1	.	0	yes
SMAP2	ENSG00000084070	1:40344850-40423326:1	protein_coding	small ArfGAP2 [Source:HGNC Symbol;Acc:HGNC:25082]	Yuan 2021	1	.	0	yes
ZMPSTE24	ENSG00000084073	1:40258041-40294180:1	protein_coding	zinc metallopeptidase STE24 [Source:HGNC Symbol;Acc:HGNC:12877]	.	0	Barone 2020	1	yes
HAL	ENSG00000084110	12:95972662-95996365:-1	protein_coding	histidine ammonia-lyase [Source:HGNC Symbol;Acc:HGNC:4806]	.	0	Llonch 2021, Ntostis 2021	2	yes
GSTP1	ENSG00000084207	11:67583742-67586656:1	protein_coding	glutathione S-transferase pi 1 [Source:HGNC Symbol;Acc:HGNC:4638]	Barone 2020	1	Ntostis 2021	1	no
FAM234B	ENSG00000084444	12:13044381-13142521:1	protein_coding	family with sequence similarity 234 member B [Source:HGNC Symbol;Acc:HGNC:29288]	This study	1	.	0	yes
SLCO1A2	ENSG00000084453	12:21264600-21419594:-1	protein_coding	solute carrier organic anion transporter family member 1A2 [Source:HGNC Symbol;Acc:HGNC:10956]	.	0	Ntostis 2021	1	yes
